pft,sw,par,ta,vpd,wds,lai,sza
3,483.358,956.162,9.735,3.5250000000000004,3.607,1.5,26.324047774424063
3,28.3615,67.4635,11.341,4.915,5.343999999999999,4.3,67.6213658248351
3,0.0,0.0,10.71,6.800000000000001,2.2265,2.6,90.0
3,466.9575,957.0585,20.071,4.825,4.4865,2.5,48.50047005223579
3,575.7149999999999,1165.37,14.825,9.82,1.743,5.2,28.761705774096303
3,0.0,0.0,13.075,4.15,2.6465,3.5,90.0
3,656.002,1320.638,22.357,19.025,3.3035,4.3,50.58172543394224
3,253.6425,535.4665,21.0395,12.475,2.614,2.2,37.89125120445675
3,224.6535,383.214,14.55,1.295,6.07,2.2,59.73989062338244
3,795.3545,1634.007,20.0135,16.525,4.5545,2.4000000000000004,30.500493879050392
3,593.3865000000001,1174.7530000000002,10.538,3.345,3.6135,1.5,29.617870064053168
3,750.421,1600.345,16.485500000000002,8.195,4.121,3.1,25.25095029871782
3,885.779,1761.771,18.508,10.555,5.8635,2.5,37.37153003777296
3,194.54700000000005,449.545,16.4055,6.135,4.5085,2.2,25.857142870028525
3,439.978,891.9259999999999,22.33,20.275,4.0365,2.5,46.90215264863704
3,563.981,1194.052,9.7405,5.55,4.325,2.2,25.857142870028525
3,130.50650000000002,243.404,21.0505,10.02,5.1055,2.5,66.46914921316274
3,526.413,1076.411,10.255,3.615,0.621,5.2,62.12163573374272
3,157.253,322.93600000000004,24.8255,21.7,3.025,4.3,67.08063604822215
3,324.283,688.365,17.9875,3.135,2.1025,1.0,53.52461856885997
3,439.803,933.498,18.3675,12.705,2.905,2.2,36.87714396932861
3,240.769,420.44,15.849,1.065,4.019,4.6000000000000005,29.56531747964772
3,6.2475,12.9065,13.3095,4.26,2.2065,3.1,85.03984386774948
3,554.251,1193.911,16.8405,8.31,3.4875,2.2,32.42317337058896
3,637.1389999999999,1345.103,18.29,7.425,5.093,2.8000000000000003,30.274637152366942
3,839.998,1691.756,15.32,5.755,4.349,3.7,25.36187262751298
3,620.892,1268.7420000000002,11.485,6.27,3.945,4.1000000000000005,25.49953396035326
3,111.166,226.677,6.944,0.285,3.1875,2.7,65.72176979778892
3,124.706,263.94100000000003,12.73,0.4682029267565099,4.8025,3.5,32.60344195206213
