pft,sw,par,ta,vpd,wds,lai,sza,vza,raa,CI,lidf,cab,lma,RUB,Rdsc,CB6F,gm,BallBerrySlope,BallBerry0,an,lst,fpar,ref_red,ref_nir,brf_red,brf_nir
3.0,483.358,956.162,9.735,3.5250000000000004,3.607,1.5,26.324047774424063,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,5.290042957038491,8.846414205927545,0.6371444328586708,0.04011810183385845,0.3710373725073308,0.046756940928756686,0.3058029016698602
3.0,28.3615,67.4635,11.341,4.915,5.343999999999999,4.3,67.6213658248351,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,1.4104955726833206,10.00708498375451,0.9360040068147455,0.018770694238115983,0.398826775618047,0.016365151615229095,0.2771556135190229
3.0,0.0,0.0,10.71,6.800000000000001,2.2265,2.6,90.0,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,-0.2892842201750534,9.34933888661169,0.8238809637412201,0.02391548659151759,0.5325677419794437,0.0006603881606687639,0.2579245507039393
3.0,466.9575,957.0585,20.071,4.825,4.4865,2.5,48.50047005223579,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,9.630519563041883,18.88520293481986,0.8095953401161602,0.027326201751336637,0.39116171357358753,0.0295965962735125,0.2908975193986507
3.0,575.7149999999999,1165.37,14.825,9.82,1.743,5.2,28.761705774096303,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,13.436390335513844,13.405043407287621,0.9572414648285028,0.017458737740914703,0.3964001058717345,0.014139430953615062,0.27052822289437445
3.0,0.0,0.0,13.075,4.15,2.6465,3.5,90.0,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,-0.4906850783535027,11.664314765417942,0.8976823070784197,0.022454720798028256,0.5573213988656821,0.0005110719758325573,0.26195084714025973
3.0,656.002,1320.638,22.357,19.025,3.3035,4.3,50.58172543394224,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,14.712227261296302,20.870107701588438,0.9334783947774622,0.019012760082349867,0.3991320736055854,0.0167722033545563,0.27707761325237185
3.0,253.6425,535.4665,21.0395,12.475,2.614,2.2,37.89125120445675,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,6.7650022670439975,19.912235935556282,0.7691378108700052,0.030211231121868305,0.3873427080841322,0.03372161119210804,0.2949389294195279
3.0,224.6535,383.214,14.55,1.295,6.07,2.2,59.73989062338244,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,5.987038987058396,13.487195427785991,0.7722265046229921,0.029933719430924786,0.3866244098691161,0.03321578160065342,0.2943865894631679
3.0,795.3545,1634.007,20.0135,16.525,4.5545,2.4000000000000004,30.500493879050392,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,11.379542422285617,18.857932164500994,0.7961098142114816,0.028387114098285034,0.39046374170379383,0.03118713227517465,0.2927302056773771
3.0,593.3865000000001,1174.7530000000002,10.538,3.345,3.6135,1.5,29.617870064053168,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,5.719432722559556,9.639400059895365,0.6372625449494715,0.040066879355125054,0.37087548978379953,0.046665370072335705,0.30554389173409013
3.0,750.421,1600.345,16.485500000000002,8.195,4.121,3.1,25.25095029871782,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,12.256851841965714,15.234789984328245,0.8670261949922541,0.02365631048252336,0.3971382793662182,0.024217158114855176,0.2861506604535419
3.0,885.779,1761.771,18.508,10.555,5.8635,2.5,37.37153003777296,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,11.752764400918952,17.346475482774167,0.8087303235865574,0.027448260158786642,0.39147150312913115,0.02981262344858138,0.29123198553771434
3.0,194.54700000000005,449.545,16.4055,6.135,4.5085,2.2,25.857142870028525,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,5.704975488018904,15.338479547023724,0.7686360704887301,0.03037949070092389,0.3878143483404793,0.034017818165441215,0.295643507647149
3.0,439.978,891.9259999999999,22.33,20.275,4.0365,2.5,46.90215264863704,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,9.634354238264006,21.11691076677363,0.8094249415156813,0.02734417758039958,0.3912061098097997,0.029628607681785,0.2909349751362575
3.0,563.981,1194.052,9.7405,5.55,4.325,2.2,25.857142870028525,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,7.473247555620882,8.752949351298753,0.7686360704887301,0.03037949070092389,0.3878143483404793,0.034017818165441215,0.295643507647149
3.0,130.50650000000002,243.404,21.0505,10.02,5.1055,2.5,66.46914921316274,0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125,4.797394067619294,19.833619737068148,0.8143438970720441,0.02700666207806933,0.3904539461672352,0.029021603095972792,0.2907564400701468
