like1,parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0,chain
inf,586.12006,7.2785053,1664.849,97952.16,1107.6921,74776.77,2.5374756,117.735214,0.57802165,0.032794185,0.0870717,0.040507495,0.009825873,0.0006899084,0.009016946,0.0057633882,0.00047515376,53.449856,46.999847,266.41647,48.819107,0.7805146,29.792631,13.119167,86.250626,0.0074265734,53.555275,2.3151832,14.0472765,0.49856785,0.0
inf,1911.9863,9.554017,1939.5212,14290.773,1761.1027,38809.13,6.8867,106.78359,0.6292646,0.45694372,0.2681005,0.058065686,0.008500487,0.00040358969,0.004248286,0.0071260133,0.00085281284,100.25385,74.70425,340.52896,20.111475,0.6324966,22.947786,52.275898,77.26252,0.008827447,68.98178,4.9026065,7.333345,0.056458347,0.0
inf,1191.4739,3.8774776,1253.7466,83207.336,835.46924,53081.875,1.8515563,109.550156,0.33906865,0.44942832,0.4112249,0.05436829,0.0056428974,0.00054154545,0.00543043,0.0027645193,0.0008321389,53.670834,19.041594,341.4374,97.61463,0.90579104,18.233936,77.7771,82.96983,0.0064968164,91.667206,3.9488084,3.083953,0.73626906,0.0
inf,24.081276,8.452201,754.6902,32054.785,1040.7881,40856.652,1.5103362,57.574337,0.68332285,0.4102469,0.34388947,0.06796729,0.0025272155,0.00091735815,0.0042395606,0.008923881,0.0002983419,139.70735,91.04481,222.24379,87.51794,0.8790326,0.31823808,10.517256,109.239716,0.006592971,91.00297,2.6200335,11.369175,0.31686687,0.0
inf,1801.543,4.5193686,1116.5532,81981.164,401.9072,33657.17,6.6946144,99.75155,0.67970735,0.46232653,0.40375695,0.03484786,0.0054720673,0.0009948253,0.009620803,0.0029173987,8.893525e-05,79.02765,57.60457,259.07385,111.78923,0.7144796,58.318726,61.68576,128.02386,0.005801662,68.68803,0.5763537,5.941506,0.5543794,0.0
inf,516.6551,4.961249,1176.4406,26856.666,1923.4115,13609.97,1.7566973,62.193096,0.30565563,0.295814,0.22416243,0.078617,0.00013703025,0.00018481165,0.0074399393,0.0008470772,0.0004902824,33.38108,75.098114,291.08124,140.98915,0.85625523,47.956696,16.612726,98.11482,0.005279538,135.37813,4.9741435,4.917715,0.07179128,0.0
inf,1216.017,4.7518682,242.56879,59289.504,1246.7256,65707.66,3.7702482,18.89079,0.43821636,0.31788996,0.44904983,0.025587257,0.0011814802,0.00042232682,0.0012507285,0.007921501,3.1291882e-05,34.554188,43.556942,186.71109,85.20739,0.8270232,55.05117,18.573046,88.530975,0.004336754,55.08511,1.8487885,10.610081,0.6345194,0.0
inf,681.5672,6.2695723,1640.2112,37092.35,1304.6188,12180.688,4.296777,16.742388,0.6326218,0.3697009,0.1624375,0.042966444,0.0019118423,0.0008579378,0.00418143,0.0026353959,0.00062485,96.463745,52.354187,299.63324,65.82469,0.7026942,22.939848,62.623367,127.11519,0.0017177307,108.301506,4.4920187,4.75395,0.07727857,0.0
inf,521.1615,2.2750275,238.32129,80292.1,1031.5728,38949.32,5.656397,98.54146,0.5972515,0.39606386,0.23238811,0.06585772,0.008767742,0.00032007255,0.0050907684,0.0055033844,0.0002490652,88.37292,55.137543,286.58035,47.22256,0.9339182,24.761637,45.695133,60.315735,0.00068360346,137.9676,4.9701934,5.769528,0.19816568,0.0
inf,1596.5786,8.573585,649.7585,8780.101,1591.0497,74709.25,7.7538233,92.987595,0.35392383,0.4767976,0.20051733,0.03433855,0.003456462,0.00016901497,0.0053487206,0.008533751,0.00077594584,128.8046,61.125435,338.8004,119.53547,0.77585477,0.7056289,65.27024,82.64955,0.0068923105,127.763115,4.9223194,2.7546432,0.37635577,0.0
inf,996.1448,2.688668,1255.4531,4454.395,1919.6356,63756.21,6.299506,78.04104,0.43459406,0.18560477,0.4758315,0.04325268,0.005758865,0.0002751092,0.0022147403,0.00979863,0.00071918603,159.27803,32.438843,285.27646,122.33957,0.68374664,56.052002,42.11736,60.03521,0.0090513285,93.22831,4.4488645,2.9109278,0.6571108,0.0
inf,1261.8038,6.2545614,1120.4219,48862.332,732.81506,49624.855,4.441184,20.910107,0.50598496,0.12054502,0.36819196,0.065989785,0.008989617,0.0004258135,0.009995989,0.0005946092,0.0005973903,155.4599,97.364075,180.28781,95.71015,0.66265786,21.826967,25.67169,76.879875,0.001987621,116.240295,0.19580324,3.0461063,0.51159424,0.0
531.92163,307.7444,8.2855015,1485.2384,50731.227,889.6144,51622.008,1.3231996,46.704777,0.5098688,0.15028223,0.28367788,0.050228845,0.00015667704,0.0005554769,0.00565465,0.00341424,0.00041156544,168.13612,17.422777,239.109,93.06306,0.68035746,5.2684684,20.713005,130.49106,0.0038563788,111.832436,0.9340105,8.498314,0.72326165,0.0
inf,1906.0549,1.846304,403.12592,99247.59,1140.6544,12762.16,2.480869,14.871107,0.40943465,0.42784414,0.1474281,0.021516453,0.0071305465,0.00036338714,0.00047386004,0.005716458,0.0008719005,52.070175,90.80385,290.6379,39.96542,0.6279497,22.733204,57.13844,104.1197,0.008258863,57.973515,4.4235477,8.461893,0.9235558,0.0
inf,794.60815,2.9308496,362.87698,60782.742,1002.5594,61895.926,6.848552,49.48357,0.6689277,0.14910677,0.27780738,0.041190613,0.007083733,3.690251e-05,0.0068738568,0.007234508,0.0009566382,143.50867,29.33305,200.80608,143.72607,0.7875351,20.538107,38.540043,139.97107,0.00055426086,114.61923,0.43855596,10.537345,0.9219704,0.0
inf,1774.1442,5.2111373,943.8402,64619.273,1107.3901,62491.43,6.2315826,19.287722,0.65623856,0.31162208,0.11128014,0.06563842,0.009130055,0.00033391008,0.004105459,0.008127536,0.00026607208,72.19681,19.048529,349.18002,30.61064,0.6308767,23.386225,27.247248,61.02994,0.009728166,134.43553,3.8088417,12.216674,0.64788085,0.0
inf,708.93756,4.3502936,438.5751,14515.65,280.27487,11870.448,1.9415383,101.082,0.55882066,0.36088127,0.1531478,0.051232502,0.0081152525,0.0005505746,0.002177279,0.0025256216,0.00046684453,149.80194,91.95357,275.88495,41.09586,0.9678093,54.108192,75.65727,82.57329,0.0080613075,144.25374,0.9424622,12.170245,0.53539634,0.0
inf,1159.8746,1.5611277,1161.6548,71841.37,1316.076,50297.4,7.4276466,98.780075,0.66680676,0.20283638,0.39658743,0.0727977,0.0048357956,0.00032022383,0.0040986617,0.0077898884,0.00017875852,98.50899,21.213844,182.47475,102.14355,0.7270612,59.447742,34.786224,118.70321,0.00097436097,58.097206,0.9432772,1.7760131,0.20972086,0.0
inf,1005.1657,9.471378,1974.392,62719.375,111.34317,29053.06,6.296816,98.25807,0.5730736,0.29852062,0.25371158,0.035228156,0.0059313225,0.00051404716,0.00083984534,0.00047730072,0.00060588133,92.04424,46.43066,184.63057,95.53728,0.8699572,33.535442,10.679581,131.15456,0.0059041367,55.680984,4.3600054,14.570887,0.86809754,0.0
inf,2.4748216,5.906342,110.43099,12630.554,1809.0728,3192.2737,2.266582,96.53817,0.570015,0.062819615,0.23409419,0.036952697,0.009331139,6.541913e-05,0.00032863242,0.005961833,0.0004924696,117.373146,88.7514,313.73,106.243744,0.8558306,53.611355,57.277554,121.369606,0.0076873847,88.70144,0.68728304,14.63032,0.07175709,0.0
inf,263.43613,4.26121,502.637,36508.918,844.7382,130.72443,6.2427745,76.75031,0.44275662,0.081423566,0.33173913,0.027308421,0.0030601788,0.0006508244,0.0010636057,0.0069475435,0.0008164007,65.89165,79.0294,235.26707,129.25314,0.8043075,33.59795,20.051834,135.06693,0.0017491503,81.18543,4.435004,10.474937,0.4209785,0.0
inf,449.10123,1.1817489,1974.0106,33278.84,402.93518,931.83453,7.9696107,107.64092,0.601659,0.45108348,0.0365102,0.039524056,0.0001316043,0.00042848976,0.008914445,0.0020086598,0.00027817299,16.286535,26.524849,315.31055,46.192307,0.8288449,34.912354,61.11446,135.53062,0.008325152,65.51053,0.032941177,1.7126436,0.6171721,0.0
inf,91.786835,9.071881,642.8722,28737.348,770.68616,47368.11,6.8554745,96.72749,0.6285481,0.29577458,0.07327195,0.067325324,0.0066869184,0.00013500624,0.009867458,0.0030050224,0.00024697668,48.744278,67.38541,236.13522,83.35985,0.90706813,6.4172454,75.798416,83.44989,0.0064952816,124.30394,3.6173592,14.840763,0.3103896,0.0
inf,936.1271,8.642385,759.3824,44808.906,829.26013,70021.734,3.9017224,81.57937,0.5062787,0.21734478,0.3042421,0.044898275,0.009671212,0.00034923095,0.0022486513,0.002932529,0.00048447817,128.80437,16.165298,333.9513,143.34277,0.7690755,20.002062,48.613956,138.17874,0.0006428797,82.88817,1.0544981,1.7460526,0.8106384,0.0
inf,1136.941,8.472552,1660.7793,78034.72,78.06744,67610.14,5.3683987,103.246284,0.40857917,0.23515768,0.32777432,0.05364925,0.008674442,0.0009279713,0.0046862457,0.007463717,0.00052326353,46.42659,25.661167,338.6464,125.614494,0.95483094,13.8316555,43.10317,72.08031,0.003968638,146.9151,4.258791,5.6617527,0.6628948,0.0
