like1,parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0,chain
0.029261608,505.3358,11.865236,1116.5947,11346.668,-92.30379,20430.78,1.4474003,127.85955,0.35532337,0.34985828,0.5018975,0.070379816,0.00477066,0.00023879964,0.003040934,0.0012587206,-1.7206088e-05,172.35211,48.186306,234.41113,48.72797,0.82482857,63.64988,43.98493,43.403,0.0012059646,91.37379,1.4534785,7.320533,0.10569726,0.0
0.25994754,111.28106,10.271539,1508.14,16019.168,-574.6423,6617.878,2.053097,113.08372,0.29915887,0.35216677,0.36397028,0.07672738,0.0029035762,0.00016124675,0.0036868646,0.001504867,5.74459e-05,187.50441,33.776955,239.23178,28.873966,0.81327385,59.28801,64.21973,63.253838,0.003927963,86.44638,0.92202795,4.749753,0.040497944,0.0
0.30393484,468.44388,10.444508,1247.4688,26894.71,-187.66586,10746.52,1.3066913,111.913536,0.31658813,0.36747107,0.51836747,0.061774146,0.005569937,0.00020377849,0.0025710515,0.00088630826,3.593715e-05,159.43721,49.968796,270.547,18.04727,0.8264437,55.728966,46.750263,36.813778,0.0015191244,71.83192,1.3828418,9.174644,0.210652,0.0
0.011773886,253.80501,10.496678,1146.1101,-6046.345,-448.34814,25596.074,1.8449272,137.81017,0.32641894,0.35832074,0.4164112,0.068564825,0.0032902071,0.00016922962,0.0018103708,-0.00046823215,1.425801e-05,169.18193,40.793434,264.2377,13.676313,0.78269684,62.077732,62.492565,35.150066,0.0020240094,95.91542,1.4275143,2.924971,0.14384913,0.0
0.8402694,428.61572,10.523395,1279.7781,31107.98,22.657326,36538.273,1.5995822,123.26178,0.29596403,0.3795366,0.4779443,0.06346904,0.0032005745,0.0003217479,0.0038030783,0.00088251167,0.00011991527,195.78748,30.913921,229.56523,33.204308,0.86297154,44.218025,67.70515,38.279118,0.0043125255,53.84259,0.36352938,6.0831475,0.22080086,0.0
0.51799273,243.9824,10.238437,1204.0352,27377.54,396.7048,37999.598,1.587541,113.83747,0.35780716,0.33890504,0.54186505,0.06864322,0.0037830002,0.000118441945,0.004020328,-0.0019740728,0.00011023162,197.23938,50.65975,232.46889,22.447266,0.8911554,63.135033,56.51793,34.356495,0.0013809137,70.316536,-0.0758991,4.3003683,0.019443572,0.0
0.07613562,445.5811,11.992286,1330.6969,29353.176,153.93134,26465.309,1.2328176,108.887085,0.30574277,0.42482138,0.52987367,0.07502017,0.0042569526,0.00013832474,0.0032206813,0.0015360082,5.795769e-05,185.33011,53.34152,262.46777,13.858962,0.8342923,54.5909,58.740566,54.844604,0.004089033,80.42078,0.7697433,8.651989,-0.016276155,0.0
inf,537.1332,9.76601,1040.184,25645.562,85.09774,35147.99,0.9157955,107.015015,0.3603904,0.30115688,0.4754291,0.061311647,0.007046558,0.00016856719,0.0016200928,1.3343333e-05,1.8497945e-05,181.11496,25.645887,274.7786,35.688183,0.8014539,68.37874,71.13629,59.22527,0.003068122,85.36464,1.0606468,6.5936785,-0.051249955,0.0
0.01434731,479.94403,10.318418,944.05695,25211.686,230.7111,15043.191,1.556617,121.959595,0.33673465,0.3529636,0.51464576,0.061189506,0.0022857306,0.00016562006,0.0024640246,-0.00048488064,9.77115e-05,176.19615,58.155296,245.6838,14.676357,0.8542092,58.15982,69.06318,55.781216,0.0037147854,88.854515,1.0165225,5.645493,0.019944161,0.0
0.35999396,690.7823,9.764108,1463.1958,12044.198,208.7814,18651.785,2.2747457,110.47798,0.32195532,0.3827127,0.5529228,0.08012376,0.0030637519,0.00016635214,0.0031235972,-0.0008876397,-4.0173054e-05,190.85606,46.612083,231.28354,39.67294,0.8763733,61.52393,65.188065,54.132164,0.0032783062,74.13215,1.2518547,7.5283537,0.15985467,0.0
inf,309.63654,10.8494215,1130.7474,12009.976,119.17496,14483.71,0.6059915,111.72613,0.27314633,0.39915174,0.54254067,0.07354346,0.0036932563,8.515601e-05,0.00470472,0.002243724,-7.290089e-06,183.15004,54.290257,254.05138,46.7033,0.88129526,62.299706,52.00779,65.05967,0.0033962398,81.48538,1.5366241,3.978085,0.10968248,0.0
0.10171232,459.7664,10.73223,1504.8966,31531.467,212.95207,17266.232,1.8006364,122.255585,0.32373402,0.38050517,0.500807,0.06675941,0.0040535266,0.00017013247,0.0050774054,-0.00070682674,0.00014040027,197.11589,46.283504,232.09775,35.515026,0.9016688,65.46968,57.23581,62.15663,0.0026711468,73.02511,0.5936593,4.220653,0.1638227,0.0
0.0014763189,355.67474,9.970121,1282.0826,15098.354,-242.67325,17423.287,1.5582652,117.68074,0.36317253,0.30748588,0.44604105,0.06528793,0.004216708,0.0001881359,0.0021773274,0.0013151312,4.632533e-05,169.29042,38.84936,236.69324,25.658484,0.8759121,59.02741,51.395298,43.60137,0.0030007698,75.32049,1.8520439,6.5666995,0.08421847,0.0
0.99931294,574.62646,11.062303,1024.6289,15549.436,-127.44991,24885.283,1.4324003,113.44533,0.40457928,0.34975168,0.5236913,0.07232016,0.004667869,0.0001570237,0.003924174,0.001302561,-4.85255e-05,162.49854,49.51992,291.486,31.839766,0.86316127,57.044918,47.172844,40.918076,0.002792926,60.525814,0.8987339,6.4274015,0.083943896,0.0
0.76191986,395.6539,9.117041,1154.0052,20678.453,-140.56969,20455.988,2.459082,109.88933,0.38096514,0.27746925,0.4934792,0.06646617,0.0037575357,0.00015519226,0.0015887504,0.0003909038,-0.0001451289,206.41644,40.569313,241.30013,39.613647,0.8817232,47.187336,43.417267,50.401154,0.002055924,73.81098,1.4447608,3.823836,0.13522036,0.0
0.2944264,466.90543,10.91708,1365.6722,36750.67,40.221954,17975.805,2.1651266,143.2096,0.27184767,0.26960763,0.5147284,0.064475976,0.0043223076,0.00013578335,0.0026348736,-0.0010450932,-5.365781e-05,159.66267,45.808167,230.36705,25.504133,0.8564228,57.993988,59.84567,60.996227,0.002380008,74.48289,0.64871866,5.838933,0.08014515,0.0
0.17207678,243.7913,10.544853,1321.322,17412.506,-167.66505,15297.484,2.3343008,139.19276,0.32819018,0.3816177,0.49887523,0.06706261,0.004951789,0.00016138455,0.004259435,0.00060200563,2.907946e-05,192.9478,45.01666,247.06111,52.31324,0.8930405,55.823933,50.792507,43.553436,0.001341187,54.33581,0.73434824,6.7514544,0.3832073,0.0
0.9993791,133.6382,9.763363,1470.7263,16265.748,-37.6162,30197.332,1.6561476,135.73361,0.3880535,0.3618004,0.505163,0.07947971,0.004455519,0.00024762048,0.0041973614,-0.0012069389,0.0002460913,194.88066,42.381744,257.7072,22.36935,0.872816,63.307896,44.02833,60.836773,0.0027090602,77.95738,1.1651478,6.105073,0.28263745,0.0
0.7308956,450.44757,9.457458,463.83624,22354.615,-66.8986,30492.535,2.2142923,134.66937,0.40789676,0.38374776,0.41656366,0.074335456,0.0033539974,0.0002067987,0.0035416647,0.0012222141,0.00012479186,184.84055,39.38043,265.95694,19.731894,0.91172856,52.685394,56.32511,39.383167,0.0022835685,81.36409,0.9072336,6.2164526,0.11646451,0.0
inf,528.7653,10.334345,960.7308,4084.532,102.03769,29438.42,0.47987196,114.08075,0.24147308,0.39407173,0.5288946,0.065300606,0.004260348,0.00031574955,0.0029677476,0.0009483295,-6.788682e-06,143.96315,59.759953,242.07028,31.709526,0.8776158,67.90667,62.65647,66.41957,0.0019497505,81.326195,1.8998559,5.1006126,-0.044252917,0.0
0.022673078,459.68518,10.293781,1356.6731,24085.6,55.30701,17169.336,2.4961293,115.985886,0.35079703,0.31406933,0.50967157,0.06126723,0.0019214371,9.184721e-05,0.0027775802,0.0006266321,6.939413e-05,209.5354,45.91706,248.41425,19.535236,0.87115943,64.87967,69.6675,70.41621,0.0031573155,84.15884,0.2903004,5.869482,0.1634335,0.0
0.87091917,678.35767,10.948529,1026.8799,13451.727,-66.704124,17485.504,2.4494913,114.425766,0.35150954,0.33949736,0.40996295,0.08022171,0.004055235,0.00030736256,0.0025630074,-0.0005403374,0.00011841233,160.36449,45.36307,254.3457,29.341125,0.8957553,49.35341,57.135174,55.65302,0.0016209409,85.987656,0.6510297,7.079674,0.10405067,0.0
inf,141.05986,10.472762,1056.3816,17431.86,-238.92436,8291.085,0.07759672,101.08338,0.33344382,0.34745386,0.5195637,0.058698192,0.005037462,0.00014776691,0.003838502,0.00033494364,-0.0002203181,182.80858,34.915607,249.23451,18.266415,0.84858865,67.15256,51.834507,37.813892,0.0042427885,95.60793,2.0833797,4.666988,0.05173208,0.0
0.44652867,366.76608,9.243697,1541.8333,24394.244,-96.57279,31854.527,1.1914356,112.29729,0.386094,0.38821295,0.5337317,0.07657329,0.0050111655,0.00039218392,0.0042315186,-0.0015113015,-2.5640456e-05,180.71735,52.696045,269.96295,37.22966,0.7617832,63.19604,50.37695,52.410156,0.002362466,81.06678,0.6824575,5.937965,0.060209513,0.0
0.8122116,380.3926,11.315763,1018.68365,27562.127,135.01437,29387.38,2.3624556,121.20678,0.2589249,0.378044,0.47380406,0.072071336,0.0031177944,0.00035026204,0.0042820997,-0.00026320468,-7.985647e-05,197.78502,45.593166,259.8979,29.072311,0.8537708,56.98546,51.766647,43.34607,0.0028707492,81.578285,1.1998664,6.0224996,0.057906855,0.0
0.52369314,452.67746,9.067604,1563.8896,33940.215,-191.66356,16530.559,1.8872143,107.78461,0.36358666,0.34226137,0.46826023,0.061668206,0.0028111401,0.0002496479,0.002464318,-0.000242848,-9.240198e-05,165.9051,42.00744,254.2208,2.3399754,0.79062855,59.515404,59.32163,58.726086,0.0009915621,83.75391,0.5898497,7.4807606,-0.016416315,0.0
0.99971205,-16.086884,8.398773,1427.4459,32385.928,-76.59874,22718.586,1.2391461,115.17987,0.36078796,0.3393094,0.5373543,0.07614025,0.005677839,0.0001520874,0.00269228,5.0121274e-05,2.4153462e-05,161.44339,42.906055,264.70734,46.857304,0.86519074,62.16705,64.44226,46.37305,0.0029944403,87.43557,0.375385,7.56435,0.0899552,0.0
inf,254.1785,10.782807,1281.2448,16232.819,-383.6236,32283.16,0.7351379,112.84715,0.36428747,0.34860703,0.46817175,0.07578646,0.0050619063,0.00025551402,0.002481129,0.00016898388,0.00014107554,174.59322,39.125393,241.49191,10.277434,0.86012757,61.5667,60.650997,41.757153,0.0024788254,80.24553,1.1715531,4.2581577,0.06587815,0.0
