year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2003.0,1.0,1.0,0.0,1.0,-12.497,0.032,0.0199999999999999,0.02,0.0,2.389,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,1.0,1.0,-13.1975,0.0325,0.135,0.025,0.0,2.915,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,2.0,1.0,-11.451,0.042,0.4,0.015,0.0,2.794,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,3.0,1.0,-8.5305,0.0804999999999999,-0.22,-0.015,0.0,2.6865,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,4.0,1.0,-9.462,0.059,-0.39,-0.015,0.0,3.571,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,5.0,1.0,-10.8245,0.0535,-0.4299999999999999,-0.025,0.0,4.2365,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,6.0,1.0,-12.9095,0.0435,-0.345,-0.02,0.0,3.3325,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,7.0,1.0,-11.7985,0.0545,0.065,-0.025,0.0,3.731,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,8.0,1.0,-10.731,0.0685,-0.37,0.15,0.0,4.399,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,9.0,1.0,-12.21,0.0415,15.975,26.76,0.0,4.5175,1.095,85.65066529486998,1.30985,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,10.0,1.0,-13.925999999999998,0.0305,86.025,158.405,0.0,4.1225000000000005,0.898,80.7121655117257,1.18574,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,11.0,1.0,-11.684,0.045,170.95,315.235,0.0,2.8005,0.746,77.61186013968621,1.08998,,,,5.37,90.0,,,,,,,-14.689999999999998,2.0
2003.0,1.0,1.0,12.0,1.0,-9.846,0.044,219.85,409.42,0.0,2.3745,0.766,76.60679000986707,1.10258,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,13.0,1.0,-8.248000000000001,0.0555,233.46,436.59,0.0,2.047,0.2315,77.78812427536307,0.765845,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,14.0,1.0,-10.0565,0.0565,185.105,346.03,0.0,2.826,0.5215,81.04912471431352,0.948545,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,15.0,1.0,-10.861,0.0515,110.53,209.29,0.0,3.2270000000000003,0.3675,86.12239019608495,0.851525,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,16.0,1.0,-11.1235,0.036,21.8405,43.965,0.0,4.595000000000001,0.469,90.0,0.91547,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,17.0,1.0,-11.4695,0.022,-0.0399999999999999,1.1749999999999998,0.0,4.579000000000001,0.47,90.0,0.9161,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,18.0,1.0,-11.7655,0.019,-0.51,-0.025,0.0,4.0705,0.7015,90.0,1.061945,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,19.0,1.0,-13.2865,0.0185,-0.485,-0.03,0.0,3.6,0.589,90.0,0.99107,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,20.0,1.0,-14.55,0.019,-0.305,-0.03,0.0,4.0755,0.687,90.0,1.05281,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,21.0,1.0,-15.348,0.0215,0.415,-0.03,0.0,2.762,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,22.0,1.0,-14.8645,0.023,0.6950000000000001,-0.015,0.0,2.2375,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,1.0,23.0,1.0,-14.8705,0.023,0.4649999999999999,0.0,0.0,1.5965,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,0.0,2.0,-14.971,0.0235,0.415,0.005,0.0,1.1905,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,1.0,2.0,-14.694,0.023,0.3349999999999999,0.01,0.0,1.7025,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,2.0,2.0,-14.771,0.0235,0.15,0.01,0.0,0.954,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,3.0,2.0,-14.9665,0.0235,-0.04,0.015,0.0,0.3355,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,4.0,2.0,-14.803999999999998,0.0225,-0.18,0.01,0.0,0.0,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,5.0,2.0,-13.219,0.0225,-0.305,0.02,0.0,1.7415,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,6.0,2.0,-14.2485,0.024,-0.44,0.025,0.0,2.2965,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,7.0,2.0,-13.6745,0.0225,-0.285,0.025,0.0,1.585,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,8.0,2.0,-12.63,0.023,-0.3299999999999999,0.2,0.0,1.439,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,9.0,2.0,-13.214,0.023,28.1,34.88,0.0,1.447,,85.57884709858686,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,10.0,2.0,-9.6275,0.017,141.705,196.595,0.0,1.424,,80.63552564585987,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,11.0,2.0,-7.23,0.0195,149.4017203362951,317.795,0.0,1.6135,0.0979999999999999,77.53129828442567,0.6817399999999999,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,12.0,2.0,-9.722,0.0215,240.69,309.42,0.0,2.2335000000000003,1.767,76.52398241142882,1.73321,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,13.0,2.0,-10.1115,0.02,213.43,295.49,0.0,1.101,0.1044999999999999,77.70513096572803,0.685835,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,14.0,2.0,-8.748000000000001,0.0195,164.75,248.53000000000003,0.0,0.8905000000000001,-0.6745,80.96780678122117,1.548155,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,15.0,2.0,-8.3325,0.0204999999999999,79.75,136.69,0.0,1.399,0.8785,86.0439638237203,1.173455,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,16.0,2.0,-11.331,0.0225,19.685,34.33,0.0,2.199,-0.1745,90.0,1.453155,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,17.0,2.0,-12.419,0.022,-0.01,0.855,0.0,2.386,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,18.0,2.0,-12.491,0.0215,-0.105,0.0,0.0,2.1415,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,19.0,2.0,-11.535,0.0205,0.325,-0.01,0.0,1.7085,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,20.0,2.0,-11.2495,0.022,0.265,-0.005,0.0,1.437,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,21.0,2.0,-11.654,0.0215,0.46,-0.01,0.0,0.7975,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,22.0,2.0,-10.9075,0.0205,0.6000000000000001,-0.01,0.0,0.3994999999999999,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,2.0,23.0,2.0,-10.5675,0.0205,0.0999999999999999,0.005,0.0,0.5205000000000001,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,0.0,3.0,-9.6225,0.0195,0.105,0.01,0.0,1.375,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,1.0,3.0,-7.952999999999999,0.0185,0.36,0.015,0.0,1.613,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,2.0,3.0,-7.669499999999999,0.0199999999999999,0.13,0.015,0.0,1.7975,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,3.0,3.0,-8.334,0.018,0.41,0.015,0.0,1.9435,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,4.0,3.0,-7.221999999999999,0.019,0.365,0.01,0.0,1.495,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,5.0,3.0,-7.2835,0.02,-0.1,0.005,0.0,0.852,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,6.0,3.0,-8.585,0.021,-0.985,0.0,0.0,2.026,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,7.0,3.0,-6.4045000000000005,0.0295,-0.49,0.0,0.0,1.223,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,8.0,3.0,-3.894,0.1075,-1.0550000000000002,0.205,0.0,2.3675,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,9.0,3.0,-5.035,0.09,15.905,34.875,0.0,2.9535,1.1800000000000002,85.50115402303113,1.3634,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,10.0,3.0,-6.4875,0.0579999999999999,83.87,174.995,0.0,1.556,0.3145,80.5526137428426,0.8181350000000001,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,11.0,3.0,-6.464,0.051,127.91,245.44,0.0,1.799,0.6685,77.44413823859391,1.041155,,,,5.37,90.0,,,,,,,-11.309999999999944,2.0
2003.0,1.0,3.0,12.0,3.0,-4.8605,0.048,193.68,375.08,0.5,2.5645,0.8805000000000001,76.43438752409243,1.174715,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,13.0,3.0,-2.994,0.077,179.02499999999998,356.63,0.0,2.545,0.6495,77.61533155134437,1.029185,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,14.0,3.0,-3.6035,0.074,87.285,181.71,0.0,1.2545,0.3345,80.87981777439336,0.830735,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,15.0,3.0,-4.085,0.0725,54.77,114.12,0.0,0.4014999999999999,0.5575,85.95910087229929,0.971225,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,16.0,3.0,-4.628,0.07,14.34,30.845,0.0,1.023,-0.0845,90.0,1.436055,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,17.0,3.0,-5.1355,0.049,0.01,0.895,0.0,1.3175,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,18.0,3.0,-5.3505,0.039,-0.29,-0.025,0.0,2.513,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,19.0,3.0,-4.8475,0.0505,0.305,-0.02,0.0,2.4605,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,20.0,3.0,-4.409,0.051,0.56,-0.01,0.0,0.5325,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,21.0,3.0,-4.204,0.0465,0.52,-0.01,0.0,1.1665,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,22.0,3.0,-3.8565,0.023,0.395,-0.01,0.0,2.0945,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,3.0,23.0,3.0,-3.447,0.047,0.085,0.0,0.0,1.503,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,0.0,4.0,-3.7305,0.0315,0.36,-0.005,0.0,1.6989999999999998,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,1.0,4.0,-3.9025,0.0235,0.25,-0.005,0.0,2.8275,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,2.0,4.0,-3.9965,0.0125,-0.015,0.0,0.0,2.988,0.2385,90.0,0.770255,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,3.0,4.0,-3.869,0.0125,-0.5700000000000001,0.02,0.0,1.6575000000000002,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,4.0,4.0,-3.7075,0.012,-0.595,0.025,0.0,1.033,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,5.0,4.0,-2.753,0.0424999999999999,-0.765,0.025,0.0,1.947,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,6.0,4.0,-3.35,0.0445,-0.655,-0.015,0.0,2.262,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,7.0,4.0,-3.66,0.0345,0.215,-0.02,0.0,2.585,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,8.0,4.0,-3.1405,0.0305,0.385,0.045,0.0,2.086,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,9.0,4.0,-3.173,0.0255,2.155,4.28,0.0,2.294,0.2865,85.41761200406779,0.800495,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,10.0,4.0,-3.1535,0.025,10.73,24.01,0.0,1.9635,0.4685,80.46345683197748,0.915155,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,11.0,4.0,-3.1205,0.021,33.255,72.645,0.0,1.214,0.2675,77.35040718644107,0.788525,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,12.0,4.0,-2.509,0.0245,68.23,145.54500000000002,0.0,0.96,0.389,76.33803207085533,0.86507,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,13.0,4.0,-1.947,0.033,83.525,177.05,0.0,0.6745,0.2755,77.51875197926782,0.7935650000000001,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,14.0,4.0,-1.52,0.039,69.265,146.47,0.0,0.304,1.1005,80.78518258372331,1.313315,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,15.0,4.0,-1.3545,0.0415,37.73,80.09,0.0,0.6345000000000001,0.567,85.86782473584012,0.97721,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,16.0,4.0,-1.9365,0.0315,13.435,30.96,0.0,1.462,0.242,90.0,0.7724599999999999,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,17.0,4.0,-2.2855,0.028,0.735,0.685,0.0,0.953,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,18.0,4.0,-2.6585,0.0255,0.215,-0.02,0.0,1.4445,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,19.0,4.0,-2.8835,0.0245,0.19,-0.02,0.0,1.684,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,20.0,4.0,-2.856,0.021,0.315,-0.02,0.0,0.947,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,21.0,4.0,-2.87,0.0205,0.17,-0.015,0.0,1.416,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,22.0,4.0,-3.0805,0.0225,0.02,-0.02,0.0,2.0605,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,4.0,23.0,4.0,-3.5485,0.016,-0.0199999999999999,-0.015,0.0,1.9045,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,0.0,5.0,-3.9295,0.0104999999999999,0.015,0.02,0.0,1.925,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,1.0,5.0,-4.383,0.013,-0.215,0.015,0.0,2.579,0.219,90.0,0.75797,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,2.0,5.0,-5.331,0.014,-0.125,0.01,0.0,2.3485,-0.3185,90.0,1.480515,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,3.0,5.0,-6.144,0.016,-0.43,0.01,0.0,2.441,0.2279999999999999,90.0,0.7636399999999999,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,4.0,5.0,-7.9325,0.0185,-0.485,-0.005,0.0,2.6625,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,5.0,5.0,-8.7905,0.0185,0.045,0.0,0.0,1.8345,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,6.0,5.0,-8.6355,0.018,0.1,0.005,0.0,1.471,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,7.0,5.0,-8.844,0.019,0.075,0.005,0.0,1.65,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,8.0,5.0,-9.025,0.019,0.16,0.12,0.0,1.5795,,90.0,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,9.0,5.0,-9.2835,0.019,9.26,16.075,0.0,1.5125,,85.32824892464333,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,10.0,5.0,-9.454,0.0195,33.725,70.09,0.0,1.4145,,80.36808397389431,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,11.0,5.0,-9.485,0.019,65.10499999999999,137.53,0.0,1.1135,,77.250134359306,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,12.0,5.0,-9.4945,0.019,76.155,163.805,0.0,1.111,,76.23494479308256,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,13.0,5.0,-9.428999999999998,0.0195,69.61,151.59,0.0,1.421,,77.41542016526498,,,,,5.37,90.0,,,,,,,,
2003.0,1.0,5.0,14.0,5.0,-9.9815,0.02,71.845,151.42000000000002,0.0,1.748,,80.68392799980073,,,,,5.37,90.0,,,,,,,,
