year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2003.0,1.0,1.0,0.0,1.0,-15.286,0.0165,0.155,0.0,0.0,3.783,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,1.0,1.0,-14.446,0.016,0.19,-0.005,0.0,3.767,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,2.0,1.0,-13.207999999999998,0.0155,0.375,0.0,0.0,3.1205,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,3.0,1.0,-11.974,0.018,-0.125,0.0,0.0,3.854,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,4.0,1.0,-11.911,0.019,0.66,0.0,0.0,3.279,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,5.0,1.0,-10.548,0.0275,0.1,0.0,0.0,2.6465,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,6.0,1.0,-11.1005,0.0265,-0.325,0.0,0.0,2.709,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,7.0,1.0,-10.8565,0.03,-0.315,0.0,0.0,4.111000000000001,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,8.0,1.0,-12.069,0.0245,-0.075,0.26,0.0,2.733,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,9.0,1.0,-11.666,0.032,19.765,38.72,0.0,1.809,,85.51808603952168,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,10.0,1.0,-11.3465,0.0375,94.27,209.255,0.0,1.0495,0.086,80.74504610856383,0.67418,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,11.0,1.0,-9.8785,0.039,174.35000000000002,351.04999999999995,0.0,1.85,0.2265,77.81706403714266,0.762695,,,,44.31,90.0,,,,,,,-13.309999999999944,2.0
2003.0,1.0,1.0,12.0,1.0,-8.8975,0.044,222.535,403.425,0.0,2.33,0.3855,76.97710876497361,0.862865,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,13.0,1.0,-7.498,0.0475,179.29155575122377,458.52,0.0,2.3135000000000003,0.2445,78.30084626413971,0.774035,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,14.0,1.0,-6.975,0.041,169.285,328.48,0.0,2.407,0.16,81.67029789097562,0.7208,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,15.0,1.0,-6.6105,0.0414999999999999,106.87,190.705,0.0,1.8045,0.111,86.81412718918546,0.68993,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,16.0,1.0,-7.728,0.0305,21.015,35.54,0.0,2.341,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,17.0,1.0,-9.639,0.0235,-0.28,0.64,0.0,2.5265,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,18.0,1.0,-11.408,0.0175,-0.46,0.0,0.0,2.6665,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,19.0,1.0,-12.78,0.0139999999999999,-0.235,0.0,0.0,2.3040000000000003,,90.0,,,,,44.31,90.0,,,,,,,,
2003.0,1.0,1.0,20.0,1.0,-13.722,0.0125,-0.295,0.0,0.0,1.4665,,90.0,,,,,44.31,90.0,,,,,,,,
