year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2008.0,1.0,1.0,0.0,1.0,-9.8465,0.091,0.0,0.0,0.0,5.222064520451756,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,1.0,1.0,-11.074,0.0829999999999999,0.0,0.0,0.0,5.445712540186118,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,2.0,1.0,-11.377,0.0925,0.0,0.0,0.0,5.755220841022322,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,3.0,1.0,-11.651,0.092,0.0,0.0,0.0,5.972357403331843,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,4.0,1.0,-11.9935,0.0815,0.0,0.0,0.0,5.96736252888771,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,5.0,1.0,-11.636,0.079,0.0,0.0,0.0,5.928130302510759,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,6.0,1.0,-11.1485,0.0865,0.0,0.0,0.0,5.681896260154641,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,7.0,1.0,-10.89,0.0844999999999999,0.1085,0.1155,0.0,5.486006742411608,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,8.0,1.0,-11.099,0.0755,22.591,44.6865,0.0,5.33633116940428,,82.27823863276922,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,9.0,1.0,-10.3535,0.0925,195.12,322.38,0.0,5.358952061374239,,74.62954147237359,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,10.0,1.0,-9.434,0.096,264.12,488.715,0.0,5.527500030050165,,68.90788920514476,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,11.0,1.0,-8.2955,0.094,368.49,690.6949999999999,0.0,7.951,1.576,65.64874575135802,1.61288,,,,49.46,90.0,,,,,,,-8.509999999999991,2.0
2008.0,1.0,1.0,12.0,1.0,-7.66,0.103,458.305,849.715,0.0,7.146,1.564,65.23690334342729,1.60532,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,13.0,1.0,-7.1475,0.113,444.315,824.72,0.0,7.353,1.8,67.72600157334278,1.754,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,14.0,1.0,-6.9885,0.1125,375.205,691.2850000000001,0.0,6.9955,1.0805,72.8094354611839,1.300715,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,15.0,1.0,-7.0585,0.1105,260.66,468.42,0.0,6.0905000000000005,0.2195,79.97370287670759,0.758285,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,16.0,1.0,-7.585,0.105,113.727,193.75,0.0,4.7835,0.0849999999999999,88.68430537465477,0.6735499999999999,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,17.0,1.0,-9.5035,0.074,5.1275,13.1335,0.0,3.4545,-0.2885,90.0,1.474815,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,18.0,1.0,-11.9985,0.0445,-0.072,-0.0905,0.0,1.7655,-0.094,90.0,1.43786,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,19.0,1.0,-13.395,0.031,-0.055,-0.2365,0.0,2.435,-0.049,90.0,1.42931,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,20.0,1.0,-13.057,0.038,-0.012,-0.041,0.0,3.142,-0.7785,90.0,1.567915,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,21.0,1.0,-14.439,0.034,-0.065,-0.16,0.0,1.393,-0.8755,90.0,1.586345,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,22.0,1.0,-13.942,0.0355,0.0,0.0,0.0,2.81,-0.107,90.0,1.44033,,,,49.46,90.0,,,,,,,,
2008.0,1.0,1.0,23.0,1.0,-12.928,0.047,-0.0085,-0.0305,0.0,3.1975,-0.9465,90.0,1.599835,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,0.0,2.0,-12.9875,0.049,-0.053,-0.146,0.0,2.6095,0.0029999999999999,90.0,0.6218899999999999,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,1.0,2.0,-13.2955,0.0495,-0.0905,-0.273,0.0,1.678,-0.5485,90.0,1.524215,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,2.0,2.0,-15.6665,0.0315,-0.041,-0.052,0.0,0.314,1.4025,90.0,1.503575,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,3.0,2.0,-17.6995,0.024,0.0,0.0,0.0,2.7393606623696503,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,4.0,2.0,-19.4985,0.0185,0.0,0.0,0.0,2.6025267631860145,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,5.0,2.0,-18.9465,0.0209999999999999,0.0,0.0,0.0,2.4521710656735274,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,6.0,2.0,-16.262999999999998,0.031,0.0,0.0,0.0,2.395132778878205,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,7.0,2.0,-17.0135,0.031,0.18,0.2165,0.0,2.7558304950609083,,90.0,,,,,49.46,90.0,,,,,,,,
2008.0,1.0,2.0,8.0,2.0,-17.133,0.033,41.185500000000005,67.0505,0.0,3.4123691958901423,,82.21774803238898,,,,,49.46,90.0,,,,,,,,
