year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2022.0,1.0,1.0,0.0,1.0,6.100250000000001,1.2068811690217218,-1.405,0.225,0.0,2.020546271191068,,90.0,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,1.0,1.0,6.026350000000001,1.2033449405626788,-1.51,0.235,0.0,1.972344074036369,,90.0,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,2.0,1.0,6.05595,1.206611089049784,-1.3250000000000002,0.23,0.0,2.00605361459789,,90.0,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,3.0,1.0,5.931,1.2017186740861776,-1.24,0.24,0.0,2.1074195628620367,,90.0,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,4.0,1.0,5.8488500000000005,1.2058188584436615,-0.8999999999999999,0.23,0.0,2.226733496053112,,90.0,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,5.0,1.0,5.8363,1.202658881933687,-0.87,0.235,0.0,2.264125293899082,,90.0,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,6.0,1.0,5.91535,1.2025388025035708,-0.775,0.25,0.0,2.259692976506487,,90.0,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,7.0,1.0,5.9529,1.2026246611710412,1.915,6.41,0.0,2.343105563015915,,90.0,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,8.0,1.0,6.113849999999999,1.2045645955992046,12.275,31.12,0.2545,2.3569740302273323,,83.0124233680618,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,9.0,1.0,6.21375,1.1660131395382134,16.36,43.195,0.0,2.384926989822901,,75.34592881813097,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,10.0,1.0,6.5749,1.1663185355189538,22.98,62.025,0.2545,2.2273577620555267,,69.56856730048546,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,11.0,1.0,7.1103000000000005,1.1662328456915196,48.145,122.055,0.2545,2.2619419834875174,,66.20810162283881,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,12.0,1.0,7.66345,1.1653330397870645,78.885,192.16,0.0,2.296305298520547,,65.65253843758505,,0.8,0.2,,44.39,90.0,,,,,,,,
2022.0,1.0,1.0,13.0,1.0,8.20715,1.1658412472265731,45.305,113.855,0.0,2.44906459984116,,67.97304998180131,,0.8,0.2,,44.39,90.0,,,,,,,,
