year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2021.0,1.0,1.0,0.0,1.0,-13.8471,0.6435,-2.96,0.345,0.0,1.2863441022493851,0.1796025564212105,90.0,0.4338807669263631,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,1.0,1.0,-14.6412,0.5751,-2.75,0.335,0.0,1.65743085027768,,90.0,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,2.0,1.0,-14.58155,0.5710500000000001,-3.055,0.345,0.0,2.09799423859439,,90.0,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,3.0,1.0,-15.23505,0.5064,-1.6949999999999998,0.325,0.0,1.5704299887960649,,90.0,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,4.0,1.0,-15.1098,0.6032500000000001,-2.005,0.3399999999999999,0.0,2.00338489935171,,90.0,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,5.0,1.0,-15.3888,0.5822,-2.615,0.325,0.0,1.774586934813128,,90.0,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,6.0,1.0,-16.216350000000002,0.37975,-2.66,0.34,0.0,1.767612662403025,,90.0,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,7.0,1.0,-14.9096,0.6314,-2.11,0.32,0.0,1.97892154006183,-0.125432964794898,90.0,0.4850519557753877,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,8.0,1.0,-13.9613,0.93525,-3.68,0.3349999999999999,0.0,1.231781704280182,,90.0,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,9.0,1.0,-16.81955,0.4115999999999999,-2.48,0.565,0.0,3.178084070503625,,90.0,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,10.0,1.0,-15.58725,0.60945,1.765,9.36,0.0,1.3812997881840952,,89.46020544159192,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,11.0,1.0,-12.0259,1.1693,10.355,34.77,0.0,0.669369145012208,,87.39482403406335,,,,,38.51,90.0,,,,,,,,
2021.0,1.0,1.0,12.0,1.0,-11.86655,1.25865,23.985,62.515,0.0,1.4331927501509298,,86.87560530578722,,,,,38.51,90.0,,,,,,,-27.20999999999998,2.0
