year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2019.0,1.0,1.0,0.0,1.0,-9.942,0.6944,-0.44,28.138113096444272,0.0342816923603168,5.347282138164565,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,1.0,1.0,-10.23115,0.694,-0.37,28.138113096444272,0.0339028195339231,5.518731491949405,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,2.0,1.0,-10.31625,0.68235,-0.33,28.138113096444272,0.0338736754703544,5.146890197391009,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,3.0,1.0,-10.42475,0.6621,-0.245,28.138113096444272,0.0339394577852667,6.062303723003184,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,4.0,1.0,-10.6091,0.66095,-0.215,28.138113096444272,0.0341184856043318,5.549267479043015,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,5.0,1.0,-10.93085,0.6347,-0.2249999999999999,28.138113096444272,0.0343241594243741,5.50540878928921,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,6.0,1.0,-11.20685,0.6348,-0.175,28.138113096444272,0.0342575444219312,5.961216396431626,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,7.0,1.0,-11.3868,0.62255,2.3,28.138113096444272,0.0339036522214537,4.59088287115099,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,8.0,1.0,-11.3685,0.63515,36.55,29.34758319876633,0.0338195507808696,4.834215869095814,,86.64520798814235,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,9.0,1.0,-11.24095,0.64555,109.41,111.41936864904412,0.033888663845904,4.77640279485456,,77.56127397320707,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,10.0,1.0,-10.7478,0.7078,125.13,222.14677647152536,0.0338503602194994,4.1047096613632,,70.0733993289536,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,11.0,1.0,-10.1844,0.7682,161.73000000000002,431.4501971822208,0.0337371147153466,3.618155319001855,,64.77123733499832,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,12.0,1.0,-9.8921,0.7746999999999999,197.41,521.5683184521133,0.0337221263397969,3.85397198553058,,62.2362710634836,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,13.0,1.0,-9.7622,0.7747999999999999,179.525,579.8055637436105,0.0337654260913848,2.939034541122955,,62.81293293019768,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,14.0,1.0,-9.47525,0.78715,135.17,514.5214752865011,0.0338153873432169,2.6149040307105,,66.41846059440273,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,15.0,1.0,-9.33765,0.7908,71.455,467.84978784845816,0.0337687568415069,2.4015854987040752,,72.5922316979503,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,16.0,1.0,-9.23955,0.80975,27.395000000000003,267.03155582436625,0.0337587645911405,2.250146132179255,,80.72800635898012,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,17.0,1.0,-9.19285,0.8324,1.175,120.08303816671932,0.0337054725891862,1.60238059571402,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,18.0,1.0,-9.0878,0.8802,-0.13,29.51136560845582,0.0337054725891862,1.4735520334801802,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,19.0,1.0,-8.963799999999999,0.89465,-0.2,28.138113096444272,0.0337054725891862,0.6805571153152146,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,20.0,1.0,-8.846250000000001,0.8897999999999999,-0.1649999999999999,28.138113096444272,0.0337054725891862,0.9288249915386196,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,21.0,1.0,-8.71675,0.90475,-0.125,28.138113096444272,0.0337092196830736,1.33294258266264,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,22.0,1.0,-8.62695,0.8723000000000001,-0.1,28.138113096444272,0.0337092196830736,2.37103706162232,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,1.0,23.0,1.0,-8.4961,0.8677999999999999,-0.055,28.138113096444272,0.0337171302146137,3.509225784074865,,90.0,,0.3,0.1,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,0.0,2.0,-8.26775,0.8411500000000001,-0.165,28.138113096444272,0.0337279551525107,3.306201277450735,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,1.0,2.0,-8.114799999999999,0.7666,-0.155,28.138113096444272,0.0338307087823435,4.01905824895783,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,2.0,2.0,-7.925499999999999,0.7940499999999999,-0.145,28.138113096444272,0.033818718093339,4.65334780506321,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,3.0,2.0,-7.6257,0.8483,-0.205,28.138113096444272,0.0338578544072742,5.26284519071411,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,4.0,2.0,-7.4171,0.9462,-0.37,28.138113096444272,0.0337162975270832,5.89135079680309,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,5.0,2.0,-7.09385,1.0442,-0.33,28.138113096444272,0.0337054725891862,5.828851466075765,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,6.0,2.0,-6.73,1.09085,-0.575,28.138113096444272,0.0337054725891862,6.1332473490239305,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,7.0,2.0,-7.3725,0.9931,0.4249999999999998,28.138113096444272,0.0337054725891862,4.90552314576214,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,8.0,2.0,-7.02815,0.95165,115.5,30.04995776339607,0.0337054725891862,6.114092855987121,,86.59217011899403,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,9.0,2.0,-5.0051000000000005,1.539,289.05,186.74772834653152,0.0337054725891862,7.47635823689265,,77.50049537077884,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,10.0,2.0,-3.3204,1.9601,431.65,484.72357559543775,0.0337054725891862,7.111046055556435,,70.00427047095762,,,,,1.62,90.0,,,,,,,-0.5499999999999545,2.0
2019.0,1.0,2.0,11.0,2.0,-1.7124,2.46095,522.635,744.9801239154164,0.0337054725891862,7.018213643674946,,64.69443494761768,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,12.0,2.0,-0.2139999999999999,2.95405,549.315,917.4660988377176,0.0337054725891862,5.982410916107925,,62.15433538947929,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,13.0,2.0,1.1674,3.57655,513.8050000000001,976.6146462549224,0.0337054725891862,4.92046618169427,,62.72989839570952,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,14.0,2.0,2.18225,4.634019446043396,469.2913273370709,922.4131675201326,0.0337054725891862,5.482674598951331,,66.33830974192871,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,15.0,2.0,2.56645,4.39135,263.845,755.9745431094409,0.0337054725891862,4.743823965129765,,72.51748552294576,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,16.0,2.0,1.7383,4.1399,97.585,495.63610358461807,0.0337054725891862,4.519969420871225,,80.65950738766095,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,17.0,2.0,-0.7057,3.3894,0.3249999999999999,194.4444517146941,0.0337054725891862,3.004019928426895,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,18.0,2.0,-1.26315,3.09965,-4.1,30.48986051762535,0.0337054725891862,2.149778037172395,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,19.0,2.0,-2.1613,2.61785,-3.93,28.138113096444272,0.0337054725891862,3.42576790485894,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,20.0,2.0,-2.873,1.96685,-3.375,28.138113096444272,0.0337054725891862,5.26758564752383,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,21.0,2.0,-2.98855,1.8203,-3.215,28.138113096444272,0.0337054725891862,5.960163007866475,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,22.0,2.0,-2.95645,1.6635,-2.98,28.138113096444272,0.0337054725891862,6.57819165849512,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,2.0,23.0,2.0,-2.9571500000000004,1.98175,-3.27,28.138113096444272,0.0337054725891862,3.99393646537932,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,0.0,3.0,-2.8922,2.3237,-3.54,28.138113096444272,0.0337054725891862,3.63309994496927,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,1.0,3.0,-3.58295,1.935,-3.3600000000000003,28.138113096444272,0.0337054725891862,4.41392048718795,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,2.0,3.0,-3.49595,1.80105,-3.48,28.138113096444272,0.0337054725891862,3.61506542699494,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,3.0,3.0,-3.8962,1.8711,-3.1950000000000003,28.138113096444272,0.0337054725891862,3.56249007257661,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,4.0,3.0,-4.211600000000001,1.6839499999999998,-3.365,28.138113096444272,0.0337054725891862,2.672521646937355,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,5.0,3.0,-4.7224,1.4678,-3.1,28.138113096444272,0.0337054725891862,2.85148906523097,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,6.0,3.0,-4.4205000000000005,1.6232,-3.06,28.138113096444272,0.0337054725891862,2.100011681527465,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,7.0,3.0,-4.56635,1.48075,1.63,28.138113096444272,0.0337054725891862,2.813663739533705,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,8.0,3.0,-4.4766,1.16605,117.75,30.02581035683929,0.0337054725891862,4.64055297035612,,86.53480514326353,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,9.0,3.0,-0.66845,2.124,287.3,185.4280200838416,0.0337054725891862,2.85631959326119,,77.43476231720722,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,10.0,3.0,2.58935,3.24175,425.66,478.6447284665794,0.0337054725891862,2.26724424675073,,69.92950099953234,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,11.0,3.0,5.1017,4.69625,512.145,732.1001072354798,0.0337054725891862,1.73481424309611,,63.82,,,,63.82,1.62,265.09000000000003,0.1169,0.2126,0.02338,0.01063,0.3089,0.2012,6.770000000000039,2.0
2019.0,1.0,3.0,12.0,3.0,7.212949999999999,6.2388,491.29,897.0751888313818,0.0337054725891862,2.462953154329115,,62.06568746568198,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,13.0,3.0,8.9659,7.29815,500.525,959.1487221036816,0.0337054725891862,3.69236774832816,,62.6400546532821,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,14.0,3.0,9.1063,7.43875,404.42,901.7072913413164,0.0337054725891862,2.9845643680891,,66.25158555239608,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,15.0,3.0,9.08415,7.579000000000001,259.89,731.1867053352889,0.0337054725891862,2.290996279101205,,72.43660940451173,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,16.0,3.0,7.6323,6.8361,96.0,488.6228568107365,0.0337054725891862,2.7564219811462047,,80.58538685263962,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,17.0,3.0,4.64105,5.4525,0.2550000000000003,193.73262816488935,0.0337054725891862,2.78051588834384,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,18.0,3.0,3.0075000000000003,4.704750000000001,-4.1850000000000005,30.909815414265715,0.0,3.6429335097796898,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,19.0,3.0,2.27075,3.70565,-3.63,28.138113096444272,0.0,2.757535679524495,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,20.0,3.0,2.22255,3.57215,-3.325,28.138113096444272,0.0,1.8994440401164447,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,21.0,3.0,3.0909000000000004,4.0291,-3.415,28.138113096444272,0.0,1.0150688172152824,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,22.0,3.0,2.1572,3.8067,-3.64,28.138113096444272,0.0,1.6064947621542949,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,3.0,23.0,3.0,1.35705,3.2647000000000004,-3.655,28.138113096444272,0.0,1.9306162229745,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,4.0,0.0,4.0,-0.32715,2.55935,-4.05,28.138113096444272,0.0,1.7900556161164551,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,4.0,1.0,4.0,1.53035,3.1703,-3.875,28.138113096444272,0.0,1.55261727388371,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,4.0,2.0,4.0,1.04895,3.1875,-3.885,28.138113096444272,0.0,2.237841593843555,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,4.0,3.0,4.0,-1.92925,1.96875,-4.49,28.138113096444272,0.0,1.834087997556475,,90.0,,,,,1.62,90.0,,,,,,,,
2019.0,1.0,4.0,4.0,4.0,-2.30355,1.8479,-3.05,28.138113096444272,0.0,2.75830024343737,,90.0,,,,,1.62,90.0,,,,,,,,
