year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2021.0,1.0,1.0,0.0,1.0,3.791041716771352,1.5829279454115537,-0.405,0.21,0.040086899196907,3.029094680828079,,90.0,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,1.0,1.0,3.993685051664493,1.5458021293830684,-0.38,0.215,0.040086899196907,3.251305611215386,,90.0,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,2.0,1.0,3.934577258057014,1.5499721581706551,-0.335,0.205,0.040086899196907,3.6694602567638377,,90.0,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,3.0,1.0,3.6493476266908313,1.556670376039018,-0.3349999999999999,0.205,0.0440179447240964,3.885441325401185,,90.0,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,4.0,1.0,3.146798852342042,1.5629584799741925,-0.315,0.205,0.0631488014460809,4.135422157892037,,90.0,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,5.0,1.0,2.5165900781579813,1.5798473686303192,-0.285,0.185,0.0791855225101805,4.303884553380188,,90.0,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,6.0,1.0,1.9003037911158305,1.585013594800336,-0.295,0.18,0.0916592994833822,4.235892231743035,,90.0,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,7.0,1.0,1.5248291003097645,1.521059870419395,0.765,2.585,0.2329373252631056,3.95074870709538,,90.0,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,8.0,1.0,1.022405879452235,1.5212451484136325,19.67,45.23,0.5725490994477485,4.346181608409815,,85.0100342104552,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,9.0,1.0,0.5796624181068115,1.521553114303114,49.895,114.065,0.7073575688518942,4.411736466960591,,75.77554777824108,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,10.0,1.0,0.3228915780928258,1.5211135867425607,58.665000000000006,136.99,0.3267545743466296,4.553090484899522,,68.18775029164954,,,,,54.93,90.0,,,,,,,,
2021.0,1.0,1.0,11.0,1.0,0.0962396255932479,1.5790897019791703,67.645,161.015,0.0695280687901154,4.720626330905223,,62.87451333951376,,,,,54.93,90.0,,,,,,,,
