year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2020.0,1.0,1.0,0.0,1.0,3.5858,3.51085,-1.73,0.07,0.0,2.2019068999322053,,90.0,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,1.0,1.0,3.26335,3.4370000000000003,-1.62,0.06,0.0,1.6994149651855,,90.0,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,2.0,1.0,3.30165,3.61445,-3.015,0.07,0.0,3.94948756841296,,90.0,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,3.0,1.0,2.97225,3.5149,-3.475,0.07,0.0,3.5135856980782254,,90.0,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,4.0,1.0,2.69585,3.3836,-4.385,0.055,0.0,0.8691605602280175,,90.0,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,5.0,1.0,2.4932,3.34605,-3.425,0.0849999999999999,0.0,3.28198016949482,,90.0,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,6.0,1.0,2.45535,3.27375,-4.08,0.095,0.0,3.515606515101685,,90.0,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,7.0,1.0,2.3994,3.3529,3.3600000000000003,19.91,0.0,2.6732908517562697,,90.0,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,8.0,1.0,1.9399,3.04655,101.525,239.575,0.0,2.084619731802945,,84.3370622288849,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,9.0,1.0,2.4191000000000003,3.2756,248.24,586.36,0.0,1.63425008509758,,75.54075441966636,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,10.0,1.0,3.5584,3.95875,350.52,792.8199999999999,0.0,1.856519846606009,,68.47000275603003,,0.4,0.1,,57.86,90.0,,,,,,,5.670000000000016,2.0
2020.0,1.0,1.0,11.0,1.0,4.6391,4.806800000000001,463.14,998.85,0.0,3.467841898370745,,63.7318057842243,,0.4,0.1,,57.86,90.0,,,,,,,,
2020.0,1.0,1.0,12.0,1.0,5.751849999999999,5.60815,489.77,1031.365,0.0,3.4749123611674504,,61.88155677057976,,0.4,0.1,,57.86,90.0,,,,,,,,
