year,month,day,hour,doy,ta,vpd,sw,par,p,wds,nee,sza,nee_unc,lai,lai_std,tts,vza,raa,ref_red,ref_nir,ref_red_unc,ref_nir_unc,ref_sw1,ref_sw2,lst,lst_unc
2020.0,1.0,1.0,0.0,1.0,-12.38285,0.261,-4.1,-0.31,0.0,2.4259444545715967,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,1.0,1.0,-12.76455,0.5484638542198492,-4.785,-0.3,0.0,2.4601550604968425,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,2.0,1.0,-12.9666,0.5350444924112905,-5.07,-0.28,0.0,2.4185696637180145,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,3.0,1.0,-12.98975,0.5252818700310501,-3.38,-0.275,0.0,2.3546519888058066,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,4.0,1.0,-13.70105,0.5229183158809996,-4.115,-0.25,0.0,2.301389353515641,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,5.0,1.0,-14.2143,0.5377491885492622,-4.105,-0.235,0.0,2.3819165437319807,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,6.0,1.0,-14.1525,0.5705530007165504,-3.835,-0.24,0.0,2.4888474465217083,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,7.0,1.0,-13.85425,0.5930097350505026,8.79,12.005,0.0,2.640627496077021,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,8.0,1.0,-13.0343,0.6094901168918834,115.02,161.34,0.0,2.8837521729208087,,86.23146230568372,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,9.0,1.0,-11.0254,0.7259433363718152,227.28,362.155,0.0,2.9854524560097584,,78.7370569853868,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,10.0,1.0,-8.8246,0.960771247859636,271.58000000000004,449.4,0.0,2.936915446100388,,72.9853553642322,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,11.0,1.0,-6.620699999999999,1.2207866278361332,292.33500000000004,464.03,0.0,3.59251995503148,,69.45104313968794,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,12.0,1.0,-5.64635,0.7651,194.44,322.405,0.0,3.420654362740635,,68.49964308825095,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,13.0,1.0,-4.4828,0.9157,218.26,346.5,0.0,3.693749122070845,,70.24139109797082,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,14.0,1.0,-4.055350000000001,0.90235,78.9,143.66,0.0,3.4760888216677603,,74.47851720456457,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,15.0,1.0,-3.79695,0.83555,39.0,70.5,0.0,2.456040320364605,0.5428993195127795,80.79697753091227,0.9620265712930512,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,16.0,1.0,-3.63715,0.7653,2.29,6.37,0.0,2.36841641508209,0.8377696755742859,88.7166849015065,1.1477948956118,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,17.0,1.0,-3.42435,0.7481500000000001,-2.165,-0.325,0.0,2.545390770513735,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,18.0,1.0,-2.8881,0.7692,-2.16,-0.335,0.0,2.88770852824974,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,19.0,1.0,-2.5318,0.8563000000000001,-3.98,-0.33,0.0,3.04640294403595,0.319498055901771,90.0,0.8212837752181157,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,20.0,1.0,-2.4294,0.8801,-3.25,-0.33,0.0,3.396258100648935,0.6063714327829706,90.0,1.0020140026532711,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,21.0,1.0,-2.3312,0.86415,-2.33,-0.33,0.0,3.3118399904528,0.388532035970767,90.0,0.8647751826615833,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,22.0,1.0,-2.08,0.8247,-2.195,-0.33,0.0,3.313566064052895,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,1.0,23.0,1.0,-1.6352,0.8108500000000001,-1.515,-0.32,0.0,3.230007636305865,0.7179362152122735,90.0,1.0722998155837322,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,0.0,2.0,-1.50035,0.7356499999999999,-2.285,-0.32,0.0,2.8408749772788298,0.643190523758866,90.0,1.0252100299680855,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,1.0,2.0,-1.3806,0.6818500000000001,-1.535,-0.31,0.0,2.759220480206345,1.1351497019538177,90.0,1.3351443122309052,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,2.0,2.0,-0.9138,0.6861999999999999,-1.375,-0.305,0.0,2.970266617156865,0.7927762225288569,90.0,1.11944902019318,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,3.0,2.0,-0.8547499999999999,0.6208,-1.435,-0.31,0.0,2.898768637965275,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,4.0,2.0,-0.85225,0.373,-1.83,-0.305,0.0,2.653028683825755,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,5.0,2.0,-0.5116499999999999,0.4892499999999999,-2.2,-0.295,0.0,2.74388323615046,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,6.0,2.0,-0.69655,0.54165,-2.07,-0.305,0.0,2.87970617399275,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,7.0,2.0,-0.5687,0.5264500000000001,0.6299999999999999,5.755,0.0,3.02715420518731,,90.0,,,,,23.84,90.0,,,,,,,,
2020.0,1.0,2.0,8.0,2.0,-0.5523,0.5003,41.07,85.805,0.0,2.818455069589956,,86.16981540977648,,,,,23.84,90.0,,,,,,,,
