parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0
50.479992,10.017773,1457.6238,16568.209,57.32589,21074.174,1.1338457,103.662926,0.34500492,0.3332325,0.56566805,0.07744972,0.0034277737,0.00029756094,0.0035533428,-0.001092106,3.6579844e-05,169.7927,41.9141,261.9483,48.577164,0.8420922,58.65772,72.97107,61.990795,0.0030663726,70.623955,0.46257403,4.2924657,0.123503506
694.8813,11.210753,951.2194,42111.38,-419.07825,30053.906,1.1560091,127.04357,0.30214366,0.36013395,0.48161492,0.059235405,0.0037185147,0.00025239232,0.0027064895,0.0007134983,0.00017873906,175.5601,47.65699,229.81859,29.612728,0.86906177,62.92567,54.101612,67.96679,0.00273114,93.49247,0.5720082,5.0835395,0.20234585
647.3329,10.324003,1356.6218,25121.12,-34.593704,26156.65,1.4174898,109.7164,0.38136494,0.2753938,0.44801039,0.066774204,0.0030560493,0.0003747846,0.0021596598,-0.000321363,0.00010433667,166.86809,47.844738,242.79556,25.819296,0.8330196,63.453114,55.40294,33.160404,0.0026707917,72.957306,0.68906385,6.1149116,0.16812196
299.43097,10.826769,942.37067,20357.602,238.71588,26112.625,2.5021012,102.872284,0.39316863,0.32987958,0.55744094,0.06989065,0.0028621901,0.00014592662,0.003072746,-0.0013284592,-1.6048727e-05,153.91377,20.363316,257.9925,12.602917,0.7923352,66.48062,62.766403,56.463306,0.003772566,72.75952,1.2123487,2.718373,0.1762499
460.5055,10.574483,1015.5694,18545.428,99.9523,25423.996,1.5621759,135.50548,0.394569,0.33766204,0.50306714,0.084080175,0.005318795,0.0002743383,0.00298237,-0.00013584185,-7.585871e-05,183.05739,46.44204,246.2365,22.495321,0.75974333,51.37897,56.199333,46.133915,0.0035602234,92.68086,0.43314922,4.5698576,-0.04328836
411.06607,10.600904,1215.0475,6709.492,-20.152397,27547.18,2.6694887,114.14259,0.35532075,0.31668437,0.4276225,0.06745954,0.005778848,0.00014092671,0.004527545,0.00043332076,0.00014672066,187.60745,59.75185,237.28297,15.29779,0.8065077,61.42499,50.4603,53.89486,0.0006791287,85.64487,0.6527379,5.3663087,0.03461828
367.81686,8.97238,1406.9045,11238.638,-106.9464,28168.998,2.314857,132.7609,0.3765934,0.3560732,0.5299066,0.070903435,0.0031119275,4.5650984e-05,0.0035836347,-0.00050984306,3.3771626e-05,161.45802,41.66119,231.4411,42.075863,0.85469484,67.326805,65.76312,40.97975,0.0028823733,72.08845,1.4570714,8.143697,0.18383142
232.18378,10.736058,1095.8457,22266.906,-131.9695,24346.742,1.506812,126.53222,0.41250998,0.27031082,0.52006906,0.06665684,0.003865179,0.00016583517,0.0031124323,-1.2044966e-05,-9.0623e-06,145.14624,63.767258,252.17322,17.44954,0.8790992,57.208176,53.280266,52.074013,0.0021314356,78.5856,1.333926,5.6277122,0.11450611
228.95459,10.139452,1037.4401,39134.316,219.47581,23000.395,1.3368254,104.20602,0.4116515,0.41516635,0.52099127,0.07741935,0.003160549,0.000215997,0.0031065636,0.0006245259,-6.676953e-05,149.28644,36.434475,257.01257,41.5251,0.84728044,63.656807,51.27098,53.617077,0.00010364601,66.712395,0.13494205,9.744639,0.0693322
373.07272,11.436336,1349.7397,15529.641,-398.44812,27097.25,2.4487827,126.76079,0.33267266,0.40035826,0.5635659,0.080892235,0.005713186,0.00035050357,0.0041573695,-0.00019117366,4.263151e-05,194.74062,33.844173,263.8267,40.09848,0.89128995,60.884434,62.91169,49.6039,0.0023840717,79.0955,0.96627843,5.5936236,0.06215053
566.1716,9.2451725,1226.3182,18575.76,139.33507,27717.205,1.2754766,112.542755,0.3226639,0.36249498,0.40788877,0.0683325,0.0034827753,0.00012697223,0.0029105262,0.00037919075,9.7732496e-05,151.46487,25.159388,254.06844,19.877783,0.8415119,58.01013,57.53396,40.856205,0.0028230394,97.19382,1.4489051,4.6789675,0.22470772
461.1619,9.840991,1400.3619,13154.351,168.53995,17880.021,2.1585057,111.29011,0.33022705,0.27295077,0.5377185,0.072825655,0.0049457024,0.00024647336,0.0013657586,-0.0010797583,5.460891e-06,170.99648,46.451565,261.89722,23.869947,0.9082677,69.14407,58.95761,56.27765,0.0024570297,100.59409,0.5736948,7.023031,-0.04102212
265.4661,9.095373,1158.0812,16522.621,-87.933914,34025.863,1.9821926,112.09633,0.3510952,0.35468647,0.39939737,0.07615425,0.0029977637,0.00014202068,0.0027484042,-0.00087040535,-6.18887e-05,167.70479,47.144165,265.2171,32.527782,0.8423462,46.182896,56.53227,66.78492,0.0027140053,90.7224,0.5110383,5.7751894,0.1981439
378.38135,9.8280115,1065.7449,36561.25,486.20474,33105.42,2.7738924,106.90804,0.33069506,0.32695404,0.50594515,0.0625051,0.003121386,8.181671e-05,0.0021349033,0.00077618595,4.7780586e-06,170.66458,51.13506,228.01309,45.478565,0.9030903,60.811035,67.42104,64.74446,0.0029352356,97.61505,1.0023413,4.448674,0.21683608
470.4656,8.350022,1162.3156,31949.846,-337.68985,35867.406,2.2253895,103.514824,0.33877423,0.35418794,0.5048088,0.068379745,0.006550614,0.00022425434,0.0026221992,-0.00023854164,7.554307e-05,183.97273,40.110447,256.64847,7.0640373,0.8781365,59.55976,53.825974,44.93798,0.0030599916,90.68214,1.1074172,5.3836675,0.08959269
482.52472,9.57781,1512.8019,10048.257,139.66606,24454.68,1.9295211,116.29099,0.31340057,0.3463749,0.5346103,0.079386495,0.0034340809,2.562508e-05,0.0022812542,0.001774334,-1.6462618e-05,151.25237,39.847385,229.3306,17.985449,0.8906536,65.81662,54.653355,38.380093,0.0027304313,88.5388,1.3854617,5.4470067,0.23487622
111.20378,8.789508,1485.5369,6667.935,111.87449,29577.154,1.8121641,110.47471,0.38601574,0.25518185,0.49885452,0.06418801,0.0036564975,0.00016198796,0.0034576247,-0.000109638684,1.9623587e-05,177.8982,39.608185,254.37997,5.242141,0.83045715,52.916004,44.063305,46.738144,0.0023289674,89.508736,0.703387,6.024029,0.28539634
470.58286,9.336229,1339.482,29167.992,97.78729,17120.504,1.1776061,121.197365,0.3368232,0.38862348,0.48378456,0.070915386,0.005453293,0.00022313673,0.0036483195,0.001169343,8.764469e-05,166.86324,44.778103,231.5194,37.638557,0.8137218,69.42336,60.40444,46.69934,0.002690879,86.74149,1.1739202,5.3241568,0.06935267
