min_lst,max_lst,mean_lst,median_lst,std_lst,2.5pct_lst,97.5pct_lst,5pct_lst,95pct_lst,year,doy,hour
-13.4,-13.4,-13.399999999999876,-13.4,1.24459004438794e-13,-13.4,-13.4,-13.4,-13.4,2003.0,1.0,0.0
-14.09,-14.086,-14.089985347985444,-14.09,0.0002418688092454848,-14.09,-14.09,-14.09,-14.09,2003.0,1.0,1.0
-12.37,-12.37,-12.369999999999909,-12.37,9.067727466254991e-14,-12.37,-12.37,-12.37,-12.37,2003.0,1.0,2.0
-9.484,-9.484,-9.484000000000037,-9.484,3.7337701331638196e-14,-9.484,-9.484,-9.484,-9.484,2003.0,1.0,3.0
-10.41,-10.41,-10.40999999999992,-10.41,8.000935999636757e-14,-10.41,-10.41,-10.41,-10.41,2003.0,1.0,4.0
-11.75,-11.75,-11.75,-11.75,0.0,-11.75,-11.75,-11.75,-11.75,2003.0,1.0,5.0
-13.81,-13.805,-13.805027472527568,-13.805,0.000369943988043852,-13.805,-13.805,-13.805,-13.805,2003.0,1.0,6.0
-12.71,-12.71,-12.710000000000033,-12.71,3.200374399854703e-14,-12.71,-12.71,-12.71,-12.71,2003.0,1.0,7.0
-11.66,-11.66,-11.659999999999913,-11.66,8.71213031071558e-14,-11.66,-11.66,-11.66,-11.66,2003.0,1.0,8.0
-13.12,-13.12,-13.119999999999907,-13.12,9.245526044024696e-14,-13.12,-13.12,-13.12,-13.12,2003.0,1.0,9.0
-14.81,-14.805,-14.809990842491016,-14.81,0.0002139802462554903,-14.81,-14.81,-14.81,-14.81,2003.0,1.0,10.0
-12.6,-12.59,-12.594652014652109,-12.59,0.004992449856208506,-12.6,-12.59,-12.6,-12.59,2003.0,1.0,11.0
-10.79,-10.78,-10.780274725274708,-10.78,0.0016360565751366912,-10.79,-10.78,-10.78,-10.78,2003.0,1.0,12.0
-9.21,-9.2,-9.20373626373622,-9.2,0.004842097880700693,-9.21,-9.2,-9.21,-9.2,2003.0,1.0,13.0
-10.99,-10.99,-10.98999999999986,-10.99,1.404608764380675e-13,-10.99,-10.99,-10.99,-10.99,2003.0,1.0,14.0
-11.79,-11.78,-11.786703296703267,-11.79,0.004705244792924824,-11.79,-11.78,-11.79,-11.78,2003.0,1.0,15.0
-12.05,-12.04,-12.0499816849818,-12.05,0.0004279604925109807,-12.05,-12.05,-12.05,-12.05,2003.0,1.0,16.0
-12.39,-12.38,-12.380677655677747,-12.38,0.0025157366729906035,-12.39,-12.38,-12.39,-12.38,2003.0,1.0,17.0
-12.68,-12.68,-12.680000000000076,-12.68,7.645338844097345e-14,-12.68,-12.68,-12.68,-12.68,2003.0,1.0,18.0
-14.18,-14.18,-14.1800000000001,-14.18,9.95672035510352e-14,-14.18,-14.18,-14.18,-14.18,2003.0,1.0,19.0
-15.43,-15.42,-15.42366300366309,-15.42,0.004822347190875352,-15.43,-15.42,-15.43,-15.42,2003.0,1.0,20.0
-16.22,-16.22,-16.220000000000027,-16.22,2.844777244315291e-14,-16.22,-16.22,-16.22,-16.22,2003.0,1.0,21.0
-15.74,-15.734,-15.73401098901116,-15.734,0.0002567762955065555,-15.734,-15.734,-15.734,-15.734,2003.0,1.0,22.0
-15.74,-15.74,-15.739999999999839,-15.74,1.617967057704322e-13,-15.74,-15.74,-15.74,-15.74,2003.0,1.0,23.0
-15.84,-15.836,-15.839992673992775,-15.84,0.00017118419700434665,-15.84,-15.84,-15.84,-15.84,2003.0,2.0,0.0
-15.57,-15.56,-15.56998168498157,-15.57,0.00042796049251090377,-15.57,-15.57,-15.57,-15.57,2003.0,2.0,1.0
-15.65,-15.64,-15.64067765567775,-15.64,0.0025157366729906083,-15.65,-15.64,-15.65,-15.64,2003.0,2.0,2.0
-15.836,-15.836,-15.83600000000003,-15.836,3.0225758220849973e-14,-15.836,-15.836,-15.836,-15.836,2003.0,2.0,3.0
-15.68,-15.67,-15.678443223443335,-15.68,0.003628819386633408,-15.68,-15.67,-15.68,-15.67,2003.0,2.0,4.0
-14.12,-14.11,-14.11047619047606,-14.11,0.002131541405568287,-14.12,-14.11,-14.11,-14.11,2003.0,2.0,5.0
-15.13,-15.125,-15.12539377289378,-15.125,0.0013480116705448203,-15.13,-15.125,-15.13,-15.125,2003.0,2.0,6.0
-14.56,-14.56,-14.560000000000171,-14.56,1.7068663465891748e-13,-14.56,-14.56,-14.56,-14.56,2003.0,2.0,7.0
